method,dist,queries,epsilon,p_hat,true_p,error
classical,beta,10,,0.0,0.04441242758762812,0.04441242758762812
classical,beta,11,,0.0,0.04441242758762812,0.04441242758762812
classical,beta,12,,0.08333333333333333,0.04441242758762812,0.03892090574570521
classical,beta,14,,0.0,0.04441242758762812,0.04441242758762812
classical,beta,15,,0.06666666666666667,0.04441242758762812,0.02225423907903855
classical,beta,17,,0.058823529411764705,0.04441242758762812,0.014411101824136588
classical,beta,20,,0.05,0.04441242758762812,0.005587572412371886
classical,beta,22,,0.0,0.04441242758762812,0.04441242758762812
classical,beta,25,,0.08,0.04441242758762812,0.035587572412371885
classical,beta,28,,0.07142857142857142,0.04441242758762812,0.027016143840943307
classical,beta,31,,0.03225806451612903,0.04441242758762812,0.012154363071499086
classical,beta,35,,0.05714285714285714,0.04441242758762812,0.012730429555229024
classical,beta,40,,0.025,0.04441242758762812,0.019412427587628116
classical,beta,45,,0.022222222222222223,0.04441242758762812,0.022190205365405894
classical,beta,50,,0.0,0.04441242758762812,0.04441242758762812
classical,beta,57,,0.07017543859649122,0.04441242758762812,0.025763011008863107
classical,beta,64,,0.046875,0.04441242758762812,0.002462572412371883
classical,beta,72,,0.027777777777777776,0.04441242758762812,0.01663464980985034
classical,beta,81,,0.06172839506172839,0.04441242758762812,0.017315967474100274
classical,beta,91,,0.04395604395604396,0.04441242758762812,0.0004563836315841577
classical,beta,102,,0.10784313725490197,0.04441242758762812,0.06343070966727385
classical,beta,114,,0.008771929824561403,0.04441242758762812,0.035640497763066714
classical,beta,129,,0.03875968992248062,0.04441242758762812,0.0056527376651474975
classical,beta,145,,0.034482758620689655,0.04441242758762812,0.009929668966938462
classical,beta,162,,0.05555555555555555,0.04441242758762812,0.011143127967927435
classical,beta,183,,0.01092896174863388,0.04441242758762812,0.03348346583899424
classical,beta,205,,0.02926829268292683,0.04441242758762812,0.015144134904701286
classical,beta,231,,0.03896103896103896,0.04441242758762812,0.005451388626589157
classical,beta,259,,0.05791505791505792,0.04441242758762812,0.0135026303274298
classical,beta,291,,0.044673539518900345,0.04441242758762812,0.00026111193127222737
classical,beta,327,,0.045871559633027525,0.04441242758762812,0.0014591320453994083
classical,beta,367,,0.03814713896457766,0.04441242758762812,0.006265288623050459
classical,beta,413,,0.05569007263922518,0.04441242758762812,0.011277645051597063
classical,beta,464,,0.032327586206896554,0.04441242758762812,0.012084841380731563
classical,beta,521,,0.05758157389635317,0.04441242758762812,0.013169146308725052
classical,beta,585,,0.041025641025641026,0.04441242758762812,0.0033867865619870915
classical,beta,657,,0.0380517503805175,0.04441242758762812,0.0063606772071106155
classical,beta,739,,0.05142083897158322,0.04441242758762812,0.007008411383955103
classical,beta,830,,0.04457831325301205,0.04441242758762812,0.000165885665383933
classical,beta,932,,0.04184549356223176,0.04441242758762812,0.0025669340253963585
classical,beta,1047,,0.049665711556829036,0.04441242758762812,0.005253283969200918
classical,beta,1176,,0.05357142857142857,0.04441242758762812,0.009159000983800451
classical,beta,1321,,0.036336109008327025,0.04441242758762812,0.008076318579301092
classical,beta,1484,,0.03840970350404313,0.04441242758762812,0.006002724083584987
classical,beta,1668,,0.03537170263788969,0.04441242758762812,0.009040724949738427
classical,beta,1873,,0.04591564335290977,0.04441242758762812,0.0015032157652816527
classical,beta,2104,,0.04800380228136882,0.04441242758762812,0.003591374693740705
classical,beta,2364,,0.046531302876480544,0.04441242758762812,0.0021188752888524273
classical,beta,2656,,0.04932228915662651,0.04441242758762812,0.0049098615689983915
classical,beta,2983,,0.04927924907810929,0.04441242758762812,0.00486682149048117
classical,beta,3351,,0.04297224709042077,0.04441242758762812,0.001440180497207344
classical,beta,3764,,0.04729011689691817,0.04441242758762812,0.0028776893092900546
classical,beta,4229,,0.042799716244975174,0.04441242758762812,0.0016127113426529435
classical,beta,4750,,0.04484210526315789,0.04441242758762812,0.0004296776755297743
classical,beta,5336,,0.041604197901049474,0.04441242758762812,0.0028082296865786435
classical,beta,5994,,0.04954954954954955,0.04441242758762812,0.005137121961921433
classical,beta,6734,,0.04544104544104544,0.04441242758762812,0.0010286178534173254
classical,beta,7564,,0.04389212057112639,0.04441242758762812,0.0005203070165017282
classical,beta,8497,,0.04201482876309286,0.04441242758762812,0.0023975988245352603
classical,beta,9545,,0.0463069669984285,0.04441242758762812,0.0018945394108003805
classical,beta,10722,,0.047379220294721136,0.04441242758762812,0.002966792707093019
classical,beta,12045,,0.044499792444997924,0.04441242758762812,8.736485736980659e-05
classical,beta,13530,,0.04530672579453067,0.04441242758762812,0.0008942982069025524
classical,beta,15199,,0.04467399170998092,0.04441242758762812,0.00026156412235280035
classical,beta,17073,,0.04369472266151233,0.04441242758762812,0.0007177049261157878
classical,beta,19179,,0.04557067626049325,0.04441242758762812,0.0011582486728651323
classical,beta,21544,,0.04274972150018567,0.04441242758762812,0.001662706087442449
classical,beta,24201,,0.042270980537994295,0.04441242758762812,0.0021414470496338225
classical,beta,27185,,0.043774140150818465,0.04441242758762812,0.0006382874368096522
classical,beta,30538,,0.043814264195428644,0.04441242758762812,0.0005981633921994731
classical,beta,34304,,0.04267723880597015,0.04441242758762812,0.0017351887816579661
classical,beta,38535,,0.045231607629427795,0.04441242758762812,0.0008191800417996775
classical,beta,43287,,0.0452791831265738,0.04441242758762812,0.0008667555389456835
classical,beta,48626,,0.04442068029449266,0.04441242758762812,8.252706864539383e-06
classical,beta,54622,,0.045348028266998644,0.04441242758762812,0.0009356006793705268
classical,beta,61359,,0.04273211753776952,0.04441242758762812,0.0016803100498585938
classical,beta,68926,,0.043800597742506456,0.04441242758762812,0.0006118298451216614
classical,beta,77426,,0.044352026451062954,0.04441242758762812,6.040113656516355e-05
classical,beta,86974,,0.04481799158369168,0.04441242758762812,0.00040556399606356264
