method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
classical,normal,0.05,10,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,11,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,12,,,0.08333333333333333,0.04943796937981328,0.033895363953520045
classical,normal,0.05,13,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,14,,,0.07142857142857142,0.04943796937981328,0.02199060204875814
classical,normal,0.05,15,,,0.06666666666666667,0.04943796937981328,0.017228697286853382
classical,normal,0.05,16,,,0.0625,0.04943796937981328,0.013062030620186717
classical,normal,0.05,17,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,18,,,0.05555555555555555,0.04943796937981328,0.006117586175742269
classical,normal,0.05,20,,,0.05,0.04943796937981328,0.0005620306201867195
classical,normal,0.05,21,,,0.09523809523809523,0.04943796937981328,0.04580012585828195
classical,normal,0.05,23,,,0.043478260869565216,0.04943796937981328,0.005959708510248067
classical,normal,0.05,24,,,0.041666666666666664,0.04943796937981328,0.007771302713146619
classical,normal,0.05,26,,,0.07692307692307693,0.04943796937981328,0.027485107543263644
classical,normal,0.05,28,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,30,,,0.1,0.04943796937981328,0.05056203062018672
classical,normal,0.05,32,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,34,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,37,,,0.02702702702702703,0.04943796937981328,0.022410942352786255
classical,normal,0.05,40,,,0.1,0.04943796937981328,0.05056203062018672
classical,normal,0.05,42,,,0.023809523809523808,0.04943796937981328,0.025628445570289475
classical,normal,0.05,46,,,0.043478260869565216,0.04943796937981328,0.005959708510248067
classical,normal,0.05,49,,,0.04081632653061224,0.04943796937981328,0.008621642849201042
classical,normal,0.05,52,,,0.057692307692307696,0.04943796937981328,0.008254338312494412
classical,normal,0.05,56,,,0.10714285714285714,0.04943796937981328,0.057704887763043854
classical,normal,0.05,60,,,0.06666666666666667,0.04943796937981328,0.017228697286853382
classical,normal,0.05,65,,,0.12307692307692308,0.04943796937981328,0.0736389536971098
classical,normal,0.05,69,,,0.057971014492753624,0.04943796937981328,0.00853304511294034
classical,normal,0.05,74,,,0.013513513513513514,0.04943796937981328,0.03592445586629977
classical,normal,0.05,80,,,0.0375,0.04943796937981328,0.011937969379813285
classical,normal,0.05,86,,,0.03488372093023256,0.04943796937981328,0.014554248449580726
classical,normal,0.05,92,,,0.03260869565217391,0.04943796937981328,0.01682927372763937
classical,normal,0.05,98,,,0.02040816326530612,0.04943796937981328,0.029029806114507162
classical,normal,0.05,105,,,0.08571428571428572,0.04943796937981328,0.03627631633447243
classical,normal,0.05,113,,,0.017699115044247787,0.04943796937981328,0.031738854335565496
classical,normal,0.05,121,,,0.024793388429752067,0.04943796937981328,0.024644580950061216
classical,normal,0.05,130,,,0.03076923076923077,0.04943796937981328,0.018668738610582512
classical,normal,0.05,139,,,0.03597122302158273,0.04943796937981328,0.013466746358230551
classical,normal,0.05,149,,,0.08053691275167785,0.04943796937981328,0.031098943371864564
classical,normal,0.05,160,,,0.05,0.04943796937981328,0.0005620306201867195
classical,normal,0.05,172,,,0.06395348837209303,0.04943796937981328,0.014515518992279743
classical,normal,0.05,184,,,0.04891304347826087,0.04943796937981328,0.0005249259015524116
classical,normal,0.05,197,,,0.03553299492385787,0.04943796937981328,0.013904974455955413
classical,normal,0.05,212,,,0.05660377358490566,0.04943796937981328,0.007165804205092378
classical,normal,0.05,227,,,0.04405286343612335,0.04943796937981328,0.005385105943689933
classical,normal,0.05,243,,,0.07407407407407407,0.04943796937981328,0.024636104694260787
classical,normal,0.05,261,,,0.0421455938697318,0.04943796937981328,0.007292375510081481
classical,normal,0.05,280,,,0.039285714285714285,0.04943796937981328,0.010152255094098998
classical,normal,0.05,300,,,0.043333333333333335,0.04943796937981328,0.0061046360464799485
classical,normal,0.05,321,,,0.059190031152647975,0.04943796937981328,0.009752061772834691
classical,normal,0.05,344,,,0.0377906976744186,0.04943796937981328,0.011647271705394681
classical,normal,0.05,369,,,0.056910569105691054,0.04943796937981328,0.007472599725877771
classical,normal,0.05,396,,,0.04292929292929293,0.04943796937981328,0.006508676450520355
classical,normal,0.05,424,,,0.05660377358490566,0.04943796937981328,0.007165804205092378
classical,normal,0.05,455,,,0.054945054945054944,0.04943796937981328,0.005507085565241661
classical,normal,0.05,488,,,0.04918032786885246,0.04943796937981328,0.00025764151096082516
classical,normal,0.05,523,,,0.05736137667304015,0.04943796937981328,0.007923407293226867
classical,normal,0.05,560,,,0.044642857142857144,0.04943796937981328,0.004795112236956139
classical,normal,0.05,601,,,0.051580698835274545,0.04943796937981328,0.002142729455461262
classical,normal,0.05,644,,,0.052795031055900624,0.04943796937981328,0.0033570616760873404
classical,normal,0.05,690,,,0.06086956521739131,0.04943796937981328,0.011431595837578024
classical,normal,0.05,740,,,0.052702702702702706,0.04943796937981328,0.0032647333228894224
classical,normal,0.05,793,,,0.03783102143757881,0.04943796937981328,0.01160694794223447
classical,normal,0.05,850,,,0.04,0.04943796937981328,0.009437969379813282
classical,normal,0.05,911,,,0.04610318331503842,0.04943796937981328,0.0033347860647748653
classical,normal,0.05,977,,,0.0368474923234391,0.04943796937981328,0.012590477056374186
classical,normal,0.05,1047,,,0.050620821394460364,0.04943796937981328,0.0011828520146470803
classical,normal,0.05,1122,,,0.049019607843137254,0.04943796937981328,0.00041836153667602904
classical,normal,0.05,1203,,,0.05569409808811305,0.04943796937981328,0.006256128708299766
classical,normal,0.05,1289,,,0.048875096974398756,0.04943796937981328,0.0005628724054145273
classical,normal,0.05,1382,,,0.055716353111432707,0.04943796937981328,0.006278383731619423
classical,normal,0.05,1482,,,0.04183535762483131,0.04943796937981328,0.007602611754981975
classical,normal,0.05,1588,,,0.0535264483627204,0.04943796937981328,0.004088478982907116
classical,normal,0.05,1702,,,0.058166862514688604,0.04943796937981328,0.00872889313487532
classical,normal,0.05,1825,,,0.05315068493150685,0.04943796937981328,0.003712715551693564
classical,normal,0.05,1956,,,0.04447852760736196,0.04943796937981328,0.00495944177245132
classical,normal,0.05,2097,,,0.05102527420123987,0.04943796937981328,0.0015873048214265842
classical,normal,0.05,2247,,,0.047619047619047616,0.04943796937981328,0.0018189217607656669
classical,normal,0.05,2409,,,0.056870070568700706,0.04943796937981328,0.007432101188887423
classical,normal,0.05,2582,,,0.04376452362509682,0.04943796937981328,0.005673445754716462
classical,normal,0.05,2768,,,0.04696531791907514,0.04943796937981328,0.0024726514607381414
classical,normal,0.05,2967,,,0.05123019885406134,0.04943796937981328,0.0017922294742480568
classical,normal,0.05,3180,,,0.04182389937106918,0.04943796937981328,0.007614070008744103
classical,normal,0.05,3409,,,0.053388090349075976,0.04943796937981328,0.003950120969262692
classical,normal,0.05,3654,,,0.055281882868089764,0.04943796937981328,0.005843913488276481
classical,normal,0.05,3917,,,0.05208067398519275,0.04943796937981328,0.0026427046053794645
classical,normal,0.05,4198,,,0.04645069080514531,0.04943796937981328,0.002987278574667976
classical,normal,0.05,4500,,,0.04577777777777778,0.04943796937981328,0.003660191602035505
classical,normal,0.05,4824,,,0.04767827529021559,0.04943796937981328,0.0017596940895976965
classical,normal,0.05,5170,,,0.05106382978723404,0.04943796937981328,0.0016258604074207567
classical,normal,0.05,5542,,,0.049801515698303864,0.04943796937981328,0.00036354631849058044
classical,normal,0.05,5941,,,0.05217976771587275,0.04943796937981328,0.0027417983360594686
classical,normal,0.05,6368,,,0.05087939698492462,0.04943796937981328,0.001441427605111338
classical,normal,0.05,6826,,,0.0523000292997363,0.04943796937981328,0.00286205991992302
classical,normal,0.05,7316,,,0.04620010934937124,0.04943796937981328,0.00323786003044204
classical,normal,0.05,7842,,,0.049222137209895434,0.04943796937981328,0.00021583216991784976
classical,normal,0.05,8406,,,0.0496074232690935,0.04943796937981328,0.00016945388928021887
classical,normal,0.05,9011,,,0.04894018421928754,0.04943796937981328,0.0004977851605257461
classical,normal,0.05,9658,,,0.04752536757092566,0.04943796937981328,0.0019126018088876234
classical,normal,0.05,10353,,,0.049454264464406456,0.04943796937981328,1.629508459317225e-05
classical,normal,0.05,11097,,,0.05082454717491214,0.04943796937981328,0.0013865777950988548
classical,normal,0.05,11895,,,0.05145018915510719,0.04943796937981328,0.002012219775293908
classical,normal,0.05,12750,,,0.04650980392156863,0.04943796937981328,0.002928165458244654
classical,normal,0.05,13667,,,0.0465354503548694,0.04943796937981328,0.0029025190249438865
