Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
0.2,0.0,0.0639648437499999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.18741676341103,0.0,0.06591796875,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1756252160373299,0.0,0.064453125,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1645755478153965,0.0,0.07177734375,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.154221082540794,0.0,0.0595703124999999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1445180806977046,0.0,0.06591796875,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1354255546936892,0.0,0.06982421875,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1269050957191733,0.0,0.07373046875,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1189207115002721,0.0,0.05322265625,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1114386742595892,0.0,0.0703124999999999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.1044273782427413,0.0,0.0590820312499999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.09785720620877,0.0,0.0659179687499999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0917004043204671,0.0,0.0722656249999999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0859309649061239,0.0,0.0634765624999999,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0805245165974627,0.0,0.08056640625,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0754582213796711,2048.0,0.0655149344594517,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0707106781186547,2048.0,0.068120534015887,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.066261832157987,8192.0,0.0660546273743695,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0620928906036742,2048.0,0.0624805609940904,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0581862429388788,8192.0,0.0662169814622604,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0545253866332628,8192.0,0.0648683527975958,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0510948574327058,8192.0,0.0665693004634767,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0478801640349286,2048.0,0.066818570490545,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0448677268750776,2048.0,0.0675533390377264,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0420448207626857,2048.0,0.0683741996505484,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0393995211276971,2048.0,0.0645563234994142,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0369206536484875,2048.0,0.0652796173072269,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0345977470490958,8192.0,0.0648957020874944,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0324209888662752,2048.0,0.0673897311739444,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0303811839995117,2048.0,0.0672263100504781,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0284697158689173,2048.0,0.0701135764855366,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0266785100169205,2048.0,0.068951627400193,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.025,8192.0,0.0662447045121431,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0234270954263787,2048.0,0.0652041520470785,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
