Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
1.000000e-01,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.951928e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.832930e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.359818e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.335721e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.623777e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.128838e-02,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.847600e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.455595e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.792690e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.636651e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.832981e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.274275e-03,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.858668e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.158482e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.281332e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.976351e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.069138e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.438450e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.000000e-04,4500,0.803327,1.171029,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
