Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
8.877612e-02,10,1.390349,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.042922e-01,11,1.405865,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.829447e-01,12,1.484517,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.531594e-02,13,1.376889,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.681798e-02,14,1.398391,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.292691e-01,15,1.430842,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.349991e-01,16,1.436572,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.980681e-02,17,1.341379,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.806278e-01,18,1.482200,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.183628e-01,19,1.519935,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.181261e-02,20,1.219760,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.769209e-02,21,1.273880,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.170439e-02,22,1.313277,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.686877e-02,24,1.328441,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.092440e-01,25,1.510817,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.053090e-02,27,1.322103,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.029023e-02,28,1.371863,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.555507e-01,30,1.457123,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.557024e-02,32,1.337143,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.470094e-01,33,1.154563,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.850171e-02,35,1.273071,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.558657e-02,37,1.255986,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.729103e-02,40,1.318864,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.204704e-03,42,1.294368,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.859727e-02,44,1.282975,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.268430e-02,47,1.324257,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.469001e-01,49,1.448473,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.039774e-01,52,1.197595,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.250190e-01,55,1.176554,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.224835e-01,59,1.424056,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.070435e-03,62,1.302643,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.964030e-02,65,1.371213,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.188036e-01,69,1.420376,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.281486e-02,73,1.208758,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.115278e-03,77,1.298457,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.999320e-02,82,1.261579,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.985608e-02,87,1.361429,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.380880e-01,92,1.439661,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.147658e-01,97,1.186807,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.387299e-01,102,1.162843,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.873894e-02,108,1.370312,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.255807e-01,114,1.175992,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.433031e-03,121,1.298140,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.402306e-02,128,1.247550,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.077052e-03,135,1.293496,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.618907e-02,143,1.245384,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.870560e-02,151,1.350278,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.961482e-02,160,1.351187,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.414232e-02,169,1.257430,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.783811e-02,179,1.359411,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.150231e-02,189,1.270070,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.504531e-02,200,1.286527,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.673978e-03,211,1.299899,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.272172e-02,223,1.278851,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.401372e-02,236,1.325586,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.565677e-03,249,1.304138,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.769069e-02,264,1.329263,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.905140e-02,279,1.320624,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.933536e-02,295,1.252237,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.244797e-02,311,1.314021,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.384145e-02,329,1.277731,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.754225e-02,348,1.349115,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.173716e-02,368,1.333310,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.493083e-02,389,1.356503,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.136177e-02,411,1.240211,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.678184e-03,435,1.304251,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.588994e-03,459,1.293984,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.250702e-02,486,1.279066,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.094838e-02,513,1.322521,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.893083e-03,543,1.293680,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.603296e-02,574,1.357606,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.816348e-02,606,1.319736,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.771131e-02,641,1.329284,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.563977e-02,678,1.317212,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
