Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
2.789486e-01,10,1.580340,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.610798e-01,13,1.662471,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.419910e-01,17,1.543383,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.740957e-01,23,1.475487,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.876870e-02,30,1.262623,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.901570e-01,40,1.111234,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.110249e-01,54,1.190367,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.437110e-03,71,1.291954,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.184647e-02,95,1.289545,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.429491e-02,126,1.277097,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.742246e-04,167,1.301966,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.938224e-02,222,1.360774,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.756060e-02,294,1.283831,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.520798e-02,390,1.266184,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.842450e-02,517,1.349816,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.350520e-02,686,1.277886,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.888987e-02,910,1.272502,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.464383e-02,1206,1.286748,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.401768e-02,1599,1.287374,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.627883e-03,2120,1.304019,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.282369e-02,2811,1.288568,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.613788e-02,3727,1.285254,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.032756e-02,4941,1.291064,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.832135e-04,6551,1.301008,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.130516e-03,8685,1.303522,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.277254e-03,11513,1.302669,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.561918e-03,15264,1.296830,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.847252e-03,20235,1.297544,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.634173e-03,26826,1.297757,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.830216e-03,35564,1.299561,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.261071e-04,47148,1.302018,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.472711e-03,62505,1.302864,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.809270e-03,82864,1.304201,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.550288e-03,109854,1.306942,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.175074e-03,145634,1.303567,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.421183e-04,193069,1.301834,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.722531e-04,255954,1.301864,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.216853e-03,339322,1.302608,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.332276e-03,449843,1.302724,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.173561e-04,596362,1.302009,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.806934e-04,790604,1.301672,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.205742e-04,1048113,1.301712,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.633010e-04,1389495,1.301855,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.929743e-05,1842069,1.301411,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.682938e-05,2442053,1.301458,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.183366e-04,3237457,1.301510,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.941936e-04,4291934,1.301197,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.405809e-04,5689866,1.301632,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.331701e-05,7543120,1.301415,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.561469e-05,10000000,1.301326,1.301391,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
