num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
10,1.6632438043097357,0.3617172467166134,1.1438503685895607,7.642959655019546,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
11,1.408859866408943,0.1073333088158206,0.3559843128494224,86.80224636042186,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12,1.5458290442512668,0.24430248665814447,0.846288638614648,16.754992006811623,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
13,1.3896548533428865,0.08812829574976422,0.31775108914503003,128.7565278415188,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
14,1.1651586415524828,0.13636791604063947,0.5102420203724273,53.774402381070736,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
15,1.3810587390366318,0.07953218144350949,0.3080268142182588,158.09357149733293,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16,1.5248415405048337,0.22331498291171137,0.8932599316468455,20.052303790397445,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
17,1.579509583022576,0.27798302542945375,1.146153375974398,12.940869137186224,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
18,1.0380251434932495,0.2635014140998728,1.1179418205735876,14.402374500041908,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
19,1.2723170433196365,0.029209514273485837,0.12732132090803366,1172.064008013043,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
20,1.437195001802392,0.1356684442092697,0.6067277273071295,54.330325951872176,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
21,1.4136397728124472,0.11211321521932494,0.5137672951474316,79.55846308854593,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
22,1.3314605704695188,0.02993401287639652,0.14040296575020772,1116.0152206588066,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
24,1.250649189820066,0.05087736777305629,0.2492471809998176,386.32314815459415,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
25,1.5237593069732438,0.2222327493801215,1.1111637469006075,20.248081561794923,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
27,1.2355310033532398,0.06599555423988246,0.34292295905143216,229.59934196898396,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
28,1.267740578768526,0.03378597882459622,0.1787785955415519,876.0461572432869,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
30,1.4871699445621474,0.18564338696902505,1.0168107069459562,29.01623322933126,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
32,1.468649658736408,0.16712310114328566,0.9453910248907405,35.8036273550032,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
33,1.3239422817976643,0.022415724204541965,0.12876853196051014,1990.1895928003576,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
35,1.3839582064697586,0.08243164887663634,0.48767221140663447,147.16753842957039,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
37,1.4040889128187033,0.10256235522558099,0.6238624513852998,95.06573915695589,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
40,1.1677700928054786,0.1337564647876437,0.8459501610021283,55.89467515620507,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
42,1.4506453296851194,0.1491187720919971,0.9664000951932118,44.971291741244244,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
44,1.2208559289399432,0.08067062865317909,0.5351084136893768,153.66293261207906,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
