method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
quantum,normal,0.05,0,0.1,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,0,0.059948425031894,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,16384,0.0359381366380462,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,10240,0.0215443469003188,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,16384,0.0129154966501488,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,10240,0.0077426368268112,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,12288,0.0046415888336127,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,186368,0.0027825594022071,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,108544,0.0016681005372,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,90112,0.001,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,184320,0.0005,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
