epsilon,shots,VaR_predicted,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.990000,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.985263,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.980526,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.975789,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.971053,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.966316,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.961579,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.956842,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.952105,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.947368,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.942632,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.937895,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.933158,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.928421,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.923684,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.918947,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.914211,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.909474,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.904737,1,skewnorm,3,7.000000,0.000000
1.000000e-01,900,0.768885,1.171029,0.150000,0.200000,0.900000,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.990000,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.985263,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.980526,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.975789,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.971053,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.966316,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.961579,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.956842,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.952105,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.947368,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.942632,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.937895,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.933158,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.928421,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.923684,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.918947,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.914211,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.909474,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.904737,1,skewnorm,3,7.000000,0.000000
5.994843e-02,900,0.768885,1.171029,0.150000,0.200000,0.900000,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.990000,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.985263,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.980526,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.975789,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.971053,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.966316,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.961579,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.956842,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.952105,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.947368,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.942632,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.937895,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.933158,1,skewnorm,3,7.000000,0.000000
3.593814e-02,2214,0.784540,1.171029,0.150000,0.200000,0.928421,1,skewnorm,3,7.000000,0.000000
