epsilon,confidence_level,shots,grover_calls,VaR_theoretical,VaR_predicted,mu,sigma,alpha_iqae
0.1,0.99,4096,6144,0.7271418328454572,0.7271418328454572,0.15,0.2,0.01
0.075,0.99,4096,6144,0.7271418328454572,0.7271418328454572,0.15,0.2,0.01
0.05,0.99,4096,6144,0.7271418328454572,0.7271418328454572,0.15,0.2,0.01
0.025,0.99,4096,6144,0.7271418328454572,0.7271418328454572,0.15,0.2,0.01
0.0125,0.99,4096,4096,0.7271418328454572,0.71582916572262,0.15,0.2,0.01
0.01,0.99,6144,77824,0.7271418328454572,0.71582916572262,0.15,0.2,0.01
0.001,0.99,6144,63488,0.7271418328454572,0.7271418328454572,0.15,0.2,0.01
0.1,0.8,2048,0,0.9760205095478766,0.9760205095478766,0.15,0.2,0.01
0.075,0.8,2048,0,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.05,0.8,4096,8192,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.025,0.8,4096,8192,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.0125,0.8,4096,8192,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.01,0.8,4096,8192,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.001,0.8,6144,153600,0.9760205095478766,0.9647078424250393,0.15,0.2,0.01
0.1,0.7,2048,0,1.0438965122849,1.0438965122849,0.15,0.2,0.01
0.075,0.7,2048,0,1.0438965122849,1.0325838451620628,0.15,0.2,0.01
0.05,0.7,2048,0,1.0438965122849,1.0438965122849,0.15,0.2,0.01
0.025,0.7,4096,14336,1.0438965122849,1.0438965122849,0.15,0.2,0.01
0.0125,0.7,4096,12288,1.0438965122849,1.0325838451620628,0.15,0.2,0.01
0.01,0.7,4096,14336,1.0438965122849,1.0438965122849,0.15,0.2,0.01
0.001,0.7,6144,270336,1.0438965122849,1.0438965122849,0.15,0.2,0.01
0.1,0.6,2048,0,1.1004598478990864,1.089147180776249,0.15,0.2,0.01
0.075,0.6,2048,0,1.1004598478990864,1.089147180776249,0.15,0.2,0.01
0.05,0.6,2048,0,1.1004598478990864,1.1004598478990864,0.15,0.2,0.01
0.025,0.6,4096,14336,1.1004598478990864,1.089147180776249,0.15,0.2,0.01
0.0125,0.6,4096,14336,1.1004598478990864,1.1004598478990864,0.15,0.2,0.01
0.01,0.6,4096,12288,1.1004598478990864,1.1004598478990864,0.15,0.2,0.01
0.001,0.6,6144,233472,1.1004598478990864,1.1004598478990864,0.15,0.2,0.01
0.1,0.5,2048,0,1.1570231835132723,1.1570231835132723,0.15,0.2,0.01
0.075,0.5,2048,0,1.1570231835132723,1.145710516390435,0.15,0.2,0.01
0.05,0.5,2048,0,1.1570231835132723,1.1570231835132723,0.15,0.2,0.01
0.025,0.5,4096,10240,1.1570231835132723,1.1570231835132723,0.15,0.2,0.01
0.0125,0.5,4096,14336,1.1570231835132723,1.145710516390435,0.15,0.2,0.01
0.01,0.5,4096,12288,1.1570231835132723,1.1570231835132723,0.15,0.2,0.01
0.001,0.5,6144,135168,1.1570231835132723,1.145710516390435,0.15,0.2,0.01
